Age in years at screening,DHEAS (µmol/L),Follicle Stimulating Hormone (mIU/mL),Androstenedione (nmol/L),Anti-Mullerian hormone (pmol/L),Total Cholesterol (mg/dL),Hepatitis A antibody,Red blood cell count (million cells/uL),Segmented neutrophils percent (%),Lymphocyte percent (%),"Testosterone, total (nmol/L)",HS C-Reactive Protein (mg/L),RBC folate (nmol/L),RBC folate (ng/mL),Total Cholesterol (mmol/L),Hemoglobin (g/dL),Fasting Glucose (mg/dL),Fasting Glucose (mmol/L),Glycohemoglobin (%),Progesterone (nmol/L),Insulin (pmol/L),Insulin (uU/mL),Red cell distribution width (%),Blood manganese (nmol/L),Serum total folate (nmol/L),Blood cadmium (nmol/L),Ferritin (ng/mL),17α-hydroxyprogesterone (nmol/L),5-Methyl-tetrahydrofolate (nmol/L),Fasting Subsample 2 Year MEC Weight,Luteinizing Hormone (mIU/mL),Mean platelet volume (fL),Mean cell volume (fL),Mean cell hemoglobin (pg)
5.397605346934028e-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,4.68,29.35,59.15,,0.39,1090.0,481.0,,12.2,,,,,,,13.9,203.5,54.2,0.409,32.6,,52.35,,,7.0,77.95,26.4
2.0,,,,,,1.0,4.61,33.5,53.7,,0.43,1035.0,457.0,,12.1,,,,,,,13.8,207.595,53.05,0.6094999999999999,27.6,,50.3,,,7.0,77.8,26.5
3.0,0.1415,,0.178,,,1.0,4.5,40.7,49.0,0.023,0.41,1085.0,479.0,,12.1,,,,0.0604,,,13.4,175.83,47.95,0.703,37.6,0.293,45.6,,,7.1,80.8,27.4
4.0,0.175,,0.19,,,1.0,4.5,42.3,46.8,0.02565,0.4,1070.0,472.0,,12.2,,,,0.07819999999999999,,,13.5,195.57999999999998,48.3,0.73,30.9,0.249,44.1,,,7.3,80.0,27.2
5.0,0.293,,0.232,,,1.0,4.58,43.9,43.5,0.0465,0.37,1100.0,486.0,,12.4,,,,0.0752,,,13.6,178.02,51.15,0.685,35.1,0.234,48.5,,,7.3,80.5,27.2
6.0,0.439,0.905,0.3235,17.35,150.5,1.0,4.585,44.9,42.4,0.0437,0.315,1050.0,464.0,3.8899999999999997,12.6,,,,0.0789,,,13.3,187.66,47.35,0.81,,0.342,45.45,,0.07,7.5,81.7,27.9
7.0,0.7395,1.27,0.433,14.92,152.0,1.0,4.605,45.7,41.95,0.0892,0.49,1030.0,455.0,3.93,12.75,,,,0.0897,,,13.3,184.02,49.25,0.845,,0.406,47.15,,0.07,7.4,82.55,28.1
8.0,1.04,1.2,0.607,18.06,154.0,1.0,4.7,47.35,39.8,0.125,0.5,1100.0,486.0,3.98,13.0,,,,0.08779999999999999,,,13.2,195.31,48.5,0.756,,0.412,45.8,,0.07,7.7,81.6,27.9
9.0,1.33,1.4649999999999999,0.679,16.315,163.0,1.0,4.63,48.849999999999994,38.15,0.152,0.455,1070.0,472.0,4.22,12.9,,,,0.08030000000000001,,,13.4,182.57,48.4,0.89,,0.506,45.95,,0.07,7.6,82.75,27.95
10.0,1.645,2.505,0.9035,16.78,154.0,1.0,4.665,50.25,37.95,0.352,0.46,1030.0,455.0,3.98,13.149999999999999,,,,0.09334999999999999,,,13.4,193.12,46.4,0.845,,0.521,44.349999999999994,,0.73,7.8,82.94999999999999,28.1
11.0,1.95,3.11,1.2,22.06,157.0,1.0,4.73,49.05,38.650000000000006,0.559,0.45,981.5,433.5,4.06,13.1,,,,0.1205,,,13.4,201.13,43.349999999999994,0.827,,0.576,41.25,,1.54,7.8,83.3,28.3
12.0,2.295,4.0,2.14,26.92,152.0,1.0,4.765,50.05,38.5,0.992,0.45,978.0,431.5,3.93,13.4,94.5,5.244999999999999,5.3,0.141,88.2,14.7,13.5,200.31,38.75,1.0590000000000002,32.8,0.976,36.45,42358.89599543375,2.995,7.8,83.1,28.0
13.0,3.2649999999999997,4.31,2.58,25.775,150.0,1.0,4.755,54.349999999999994,34.7,1.46,0.37,852.0,376.0,3.88,13.4,96.0,5.33,5.3,0.1825,70.62,11.77,13.5,188.21,35.9,1.041,26.75,1.375,34.2,67188.14492113052,4.69,7.9,84.95,28.6
14.0,3.6,3.375,2.605,29.13,145.0,1.0,4.79,51.5,36.8,4.390000000000001,0.71,920.0,406.5,3.75,13.7,96.0,5.33,5.3,0.191,76.8,12.8,13.7,195.76,32.3,1.1075,27.25,1.67,30.4,60328.152818289986,4.279999999999999,8.0,84.1,28.5
15.0,4.62,4.18,2.79,30.45,149.5,1.0,4.89,54.05,33.8,7.41,0.605,887.0,392.0,3.865,14.0,95.0,5.27,5.3,0.1935,66.0,11.0,13.4,190.57,32.0,1.13,27.7,1.96,30.6,55115.97263961371,5.3149999999999995,8.1,85.3,28.8
16.0,4.44,4.33,3.38,28.06,148.0,1.0,4.715,55.4,33.650000000000006,1.88,0.79,908.0,401.0,3.83,13.8,93.0,5.16,5.2,0.217,63.06,10.51,13.3,188.03,28.6,1.174,31.3,1.84,27.2,48296.8326101034,4.78,8.0,86.0,29.3
17.0,4.82,3.85,3.22,32.56,152.5,1.0,4.83,56.0,33.5,8.205,0.8,867.0,383.0,3.9450000000000003,14.1,94.0,5.22,5.2,0.213,64.80000000000001,10.8,13.4,191.395,27.8,1.2415,31.05,2.23,25.9,51147.82052881003,4.9,8.1,86.7,29.5
18.0,5.99,3.44,3.415,32.92,152.0,1.0,4.94,56.9,32.0,11.45,0.95,898.5,397.0,3.93,14.5,95.0,5.27,5.2,0.235,70.56,11.760000000000002,13.4,178.47,28.3,1.1524999999999999,26.4,2.565,26.700000000000003,60560.21745038008,4.845000000000001,8.2,86.2,29.3
19.0,4.645,4.045,3.295,29.95,158.0,1.0,4.82,57.5,31.2,1.82,1.35,851.0,376.0,4.09,13.8,94.0,5.22,5.1,0.2235,65.91,10.985,13.3,176.29000000000002,25.6,1.508,21.6,1.76,23.950000000000003,48290.93200536222,5.955,8.1,86.5,29.5
20.0,5.58,4.25,3.8,32.27,152.0,1.0,4.78,58.35,30.5,8.22,1.27,904.0,399.0,3.93,14.05,93.0,5.165,5.2,0.23,70.44,11.74,13.25,166.0,25.85,1.3479999999999999,22.8,2.12,24.35,125789.60107219066,5.91,8.4,87.45,29.6
21.0,4.34,3.325,3.665,31.845,161.0,1.0,4.78,60.0,28.5,1.815,1.46,991.5,438.0,4.16,14.0,97.0,5.38,5.2,0.2535,70.8,11.8,13.2,187.025,26.549999999999997,1.388,41.55,2.17,25.1,104902.35416710612,5.835,8.4,87.7,29.6
22.0,4.5,2.82,3.12,28.92,168.0,1.0,4.75,59.4,29.4,2.32,1.41,917.0,405.0,4.34,14.0,92.0,5.11,5.1,0.236,45.48,7.58,13.3,184.93,24.0,1.628,31.5,2.2,22.3,122739.20674241825,5.32,8.2,86.8,29.6
23.0,4.61,4.02,3.7,32.63,180.0,1.0,4.779999999999999,57.2,31.799999999999997,2.28,1.17,914.0,403.5,4.65,14.2,97.0,5.38,5.15,0.223,68.4,11.4,13.1,161.815,28.1,1.5925,33.7,2.52,26.8,90826.74363303253,6.56,8.0,87.35,29.7
24.0,4.945,3.255,3.73,34.52,170.5,1.0,4.71,53.6,33.5,2.415,1.09,910.0,402.0,4.41,13.9,92.0,5.11,5.15,0.256,32.19,5.365,13.1,170.46499999999997,30.5,1.5350000000000001,31.1,2.565,29.05,82622.82300425514,5.21,8.3,88.2,30.0
25.0,4.84,3.93,2.965,32.235,174.0,1.0,4.82,57.65,31.25,4.1,1.37,958.0,423.0,4.5,14.25,92.0,5.11,5.2,0.215,68.13,11.355,13.350000000000001,158.18,27.6,1.361,37.55,2.04,25.85,95873.76494723445,4.86,8.4,87.6,29.7
26.0,5.28,4.23,3.31,24.53,177.0,1.0,4.61,54.7,33.5,1.71,2.005,977.0,431.0,4.58,13.6,96.0,5.33,5.2,0.20850000000000002,59.370000000000005,9.895,13.1,155.08,30.7,1.486,49.4,1.97,28.9,106836.80037598334,5.775,8.1,87.5,29.8
